YGR167W	YGR167W@chrVII:832455-833157(+)
YDR085C	YDR085C@chrIV:614287-616150(-)
YNL101W	YNL101W@chrXIV:434998-437140(+)
YOR227W	YOR227W@chrXV:762824-766565(+)
YDR398W	YDR398W@chrIV:1267470-1269402(+)
YLR222C	YLR222C@chrXII:579317-581771(-)
YPR125W	YPR125W@chrXVI:787960-789325(+)
YCL041C	YCL041C@chrIII:50132-50627(-)
YDL224C	YDL224C@chrIV:54396-56346(-)
YLR467W	YLR467W@chrXII:1072507-1077898(+)
YIR010W	YIR010W@chrIX:375430-377161(+)
YDR448W	YDR448W@chrIV:1356064-1357369(+)
YIL155C	YIL155C@chrIX:51758-53708(-)
YOR142W	YOR142W@chrXV:593056-594046(+)
YKR077W	YKR077W@chrXI:583652-584744(+)
YKL068W-A	YKL068W-A@chrXI:309205-309442(+)
YKL140W	YKL140W@chrXI:180778-182425(+)
YPR130C	YPR130C@chrXVI:793373-793781(-)
YOR342C	YOR342C@chrXV:966665-967625(-)
YIL051C	YIL051C@chrIX:257842-258280(-)
YCL024W	YCL024W@chrIII:79161-82275(+)
YER014C-A	YER014C-A@chrV:183730-184700(-)
YJR094W-A	YJR094W-A@chrX:608304-608858(+)
YKL191W	YKL191W@chrXI:81034-82639(+)
YEL054C	YEL054C@chrV:52720-53218(-)
YPL260W	YPL260W@chrXVI:49302-50958(+)
YIL089W	YIL089W@chrIX:195598-196216(+)
YMR122C	YMR122C@chrXIII:510700-511075(-)
YDR330W	YDR330W@chrIV:1127871-1129374(+)
YNL134C	YNL134C@chrXIV:372450-373581(-)
YOR108C-A	YOR108C-A@chrXV:524604-524814(-)
YMR221C	YMR221C@chrXIII:713930-715445(-)
YDR129C	YDR129C@chrIV:713339-715379(-)
YHR159W	YHR159W@chrVIII:417548-419063(+)
YAL019W	YAL019W@chrI:114918-118314(+)
YKR002W	YKR002W@chrXI:443231-444938(+)
YGR178C	YGR178C@chrVII:851046-853215(-)
YJL064W	YJL064W@chrX:315174-315570(+)
YLR141W	YLR141W@chrXII:423682-424774(+)
YLR259C	YLR259C@chrXII:663283-665002(-)
YBR162C	YBR162C@chrII:563202-564570(-)
YOR177C	YOR177C@chrXV:665784-667179(-)
YCR025C	YCR025C@chrIII:163445-163856(-)
YNR066C	YNR066C@chrXIV:753724-755035(-)
YKL222C	YKL222C@chrXI:3502-5620(-)
YGR158C	YGR158C@chrVII:805268-806021(-)
YFR027W	YFR027W@chrVI:207451-208297(+)
YDL129W	YDL129W@chrIV:231023-231899(+)
YML117W	YML117W@chrXIII:34242-37647(+)
YBR225W	YBR225W@chrII:670626-673329(+)
YGL101W	YGL101W@chrVII:312192-312840(+)
YLR330W	YLR330W@chrXII:787663-789679(+)
YBR207W	YBR207W@chrII:635145-636543(+)
YER159C-A	YER159C-A@chrV:496801-498124(-)
YAR027W	YAR027W@chrI:183769-184477(+)
YGL009C	YGL009C@chrVII:476312-478652(-)
YBR073W	YBR073W@chrII:383111-385988(+)
YER088W-B	YER088W-B@chrV:335926-336073(+)
YDR290W	YDR290W@chrIV:1039369-1039699(+)
YOR171C	YOR171C@chrXV:652009-653884(-)
YMR010W	YMR010W@chrXIII:285099-286317(+)
YGR246C	YGR246C@chrVII:982481-984272(-)
YOR180C	YOR180C@chrXV:674351-675167(-)
YIL093C	YIL093C@chrIX:187989-188784(-)
YLR263W	YLR263W@chrXII:670339-672823(+)
YHL007C	YHL007C@chrVIII:95117-97937(-)
YJR078W	YJR078W@chrX:578859-580221(+)
YBR122C	YBR122C@chrII:483969-484503(-)
YLR347W-A	YLR347W-A@chrXII:824788-824929(+)
YOL028C	YOL028C@chrXV:270632-271370(-)
YBR196C-A	YBR196C-A@chrII:614023-614173(-)
YLR381W	YLR381W@chrXII:879722-881924(+)
YOR023C	YOR023C@chrXV:376011-377712(-)
YKL054C	YKL054C@chrXI:336536-338753(-)
YPL096C-A	YPL096C-A@chrXVI:366528-366735(-)
YPR161C	YPR161C@chrXVI:864448-866422(-)
YLL034C	YLL034C@chrXII:70632-73146(-)
YER119C-A	YER119C-A@chrV:400866-401238(-)
YBL093C	YBL093C@chrII:44255-44918(-)
YGR277C	YGR277C@chrVII:1045643-1046561(-)
YHR212W-A	YHR212W-A@chrVIII:538741-538945(+)
YML111W	YML111W@chrXIII:46941-49704(+)
snR57	snR57@chrXII:794937-795024(-)
YIR017C	YIR017C@chrIX:383555-384119(-)
YJR057W	YJR057W@chrX:544061-544712(+)
YDR253C	YDR253C@chrIV:963989-964565(-)
YPL163C	YPL163C@chrXVI:241917-242700(-)
YBR064W	YBR064W@chrII:367762-368191(+)
YLL040C	YLL040C@chrXII:54210-63645(-)
YHR214C-E	YHR214C-E@chrVIII:551199-551499(-)
YEL024W	YEL024W@chrV:107259-107907(+)
YLR245C	YLR245C@chrXII:626501-626930(-)
YIR030W-A	YIR030W-A@chrIX:412898-413282(+)
YBL058W	YBL058W@chrII:111436-112708(+)
YBR047W	YBR047W@chrII:331832-332360(+)
YGL053W	YGL053W@chrVII:402588-403302(+)
YLR116W	YLR116W@chrXII:380821-382252(+)
YAL068W-A	YAL068W-A@chrI:537-792(+)
YLR243W	YLR243W@chrXII:624202-625021(+)
YBL010C	YBL010C@chrII:206106-206949(-)
YOL127W	YOL127W@chrXV:80347-81190(+)
YLR377C	YLR377C@chrXII:873745-874792(-)
YOL137W	YOL137W@chrXV:65620-67114(+)
YER088C-A	YER088C-A@chrV:335695-336019(-)
YGL247W	YGL247W@chrVII:36932-37526(+)
YGR041W	YGR041W@chrVII:577486-579130(+)
YDL209C	YDL209C@chrIV:86206-87226(-)
YEL050C	YEL050C@chrV:59669-60851(-)
YPL247C	YPL247C@chrXVI:82624-84196(-)
YLR015W	YLR015W@chrXII:175226-176744(+)
YNL024C	YNL024C@chrXIV:587106-587847(-)
YOR253W	YOR253W@chrXV:804376-804907(+)
YKL214C	YKL214C@chrXI:31081-31693(-)
YDL073W	YDL073W@chrIV:326612-329567(+)
YOR222W	YOR222W@chrXV:758329-759253(+)
YEL022W	YEL022W@chrV:111420-115800(+)
YPR089W	YPR089W@chrXVI:713274-715941(+)
YPL150W	YPL150W@chrXVI:268187-270893(+)
YBR058C	YBR058C@chrII:353671-356017(-)
YDL211C	YDL211C@chrIV:79293-80412(-)
YML030W	YML030W@chrXIII:216434-216914(+)
YER056C-A	YER056C-A@chrV:269422-270185(-)
YLR184W	YLR184W@chrXII:522105-522453(+)
YDR256C	YDR256C@chrIV:968132-969680(-)
YLR467C-A	YLR467C-A@chrXII:1077049-1077532(-)
YLL051C	YLL051C@chrXII:37332-39471(-)
YGL186C	YGL186C@chrVII:151036-152776(-)
YDR286C	YDR286C@chrIV:1035230-1035575(-)
YOR269W	YOR269W@chrXV:826384-827869(+)
YCR020W-B	YCR020W-B@chrIII:155319-155556(+)
YHR122W	YHR122W@chrVIII:353624-354320(+)
YGL200C	YGL200C@chrVII:122693-123305(-)
YBL101C	YBL101C@chrII:24945-28299(-)
YBL015W	YBL015W@chrII:194121-195702(+)
YLR416C	YLR416C@chrXII:954490-954889(-)
YLR044C	YLR044C@chrXII:232389-234081(-)
YLR130C	YLR130C@chrXII:402793-404062(-)
YDL048C	YDL048C@chrIV:366738-368211(-)
YFR053C	YFR053C@chrVI:253591-255049(-)
YIL136W	YIL136W@chrIX:93618-94800(+)
YPR104C	YPR104C@chrXVI:733622-736433(-)
YOR139C	YOR139C@chrXV:586949-587342(-)
YPR143W	YPR143W@chrXVI:818322-819075(+)
YJL043W	YJL043W@chrX:360129-360903(+)
YGR143W	YGR143W@chrVII:775192-777508(+)
YDL052C	YDL052C@chrIV:362671-363583(-)
YDR340W	YDR340W@chrIV:1150880-1151183(+)
YBR081C	YBR081C@chrII:401252-405251(-)
YBR040W	YBR040W@chrII:316967-317864(+)
YCR030C	YCR030C@chrIII:173825-176438(-)
YOR024W	YOR024W@chrXV:377846-378170(+)
YLR415C	YLR415C@chrXII:954258-954597(-)
YJR107W	YJR107W@chrX:627339-628326(+)
YDL068W	YDL068W@chrIV:333499-333829(+)
YJR003C	YJR003C@chrX:440993-442553(-)
YGR033C	YGR033C@chrVII:554247-554967(-)
YKR022C	YKR022C@chrXI:482170-483139(-)
YHL023C	YHL023C@chrVIII:59122-62563(-)
YDR199W	YDR199W@chrIV:854174-854540(+)
YDL009C	YDL009C@chrIV:432924-433248(-)
YNL286W	YNL286W@chrXIV:95222-96080(+)
YDL071C	YDL071C@chrIV:330665-331040(-)
YPR112C	YPR112C@chrXVI:749255-751919(-)
YDL198C	YDL198C@chrIV:103648-104551(-)
YKL218C	YKL218C@chrXI:17358-18339(-)
YDR145W	YDR145W@chrIV:746737-748357(+)
YLR406C-A	YLR406C-A@chrXII:932205-932355(-)
YPL185W	YPL185W@chrXVI:195252-195648(+)
YJL075C	YJL075C@chrX:298459-298876(-)
YBR203W	YBR203W@chrII:629167-631942(+)
YDR526C	YDR526C@chrIV:1491074-1491545(-)
YDR054C	YDR054C@chrIV:561439-562327(-)
YMR256C	YMR256C@chrXIII:778944-779127(-)
YLL032C	YLL032C@chrXII:74269-76747(-)
YBR269C	YBR269C@chrII:742159-742576(-)
YMR222C	YMR222C@chrXIII:715637-716309(-)
YIL139C	YIL139C@chrIX:87978-88716(-)
YBR076W	YBR076W@chrII:390226-391291(+)
YOR077W	YOR077W@chrXV:471898-472597(+)
YJL127W-A	YJL127W-A@chrX:180193-180310(+)
YDR310C	YDR310C@chrIV:1081127-1084316(-)
YMR147W	YMR147W@chrXIII:559198-559870(+)
YKL030W	YKL030W@chrXI:382497-383103(+)
YOR108W	YOR108W@chrXV:523026-524841(+)
YDR420W	YDR420W@chrIV:1306266-1311675(+)
YGR035C	YGR035C@chrVII:557071-557422(-)
YEL045C	YEL045C@chrV:68839-69265(-)
YER183C	YER183C@chrV:553333-553969(-)
YML057W	YML057W@chrXIII:160179-161994(+)
YOL091W	YOL091W@chrXV:145333-147163(+)
YKL194C	YKL194C@chrXI:77257-78646(-)
YGR082W	YGR082W@chrVII:644043-644595(+)
YBR137W	YBR137W@chrII:513043-513583(+)
YKL028W	YKL028W@chrXI:385757-387206(+)
YER008C	YER008C@chrV:167807-171818(-)
YPL090C	YPL090C@chrXVI:377290-378395(-)
YPR129W	YPR129W@chrXVI:792686-793736(+)
YGL149W	YGL149W@chrVII:225571-225877(+)
YKL023W	YKL023W@chrXI:393720-394554(+)
YHL034C	YHL034C@chrVIII:33192-34077(-)
YHR153C	YHR153C@chrVIII:402085-402682(-)
YER063W	YER063W@chrV:281709-282366(+)
YNL017C	YNL017C@chrXIV:602137-602476(-)
YKL071W	YKL071W@chrXI:305113-305884(+)
YLR406C	YLR406C@chrXII:931064-931755(-)
YDR453C	YDR453C@chrIV:1365071-1365662(-)
YOR153W	YOR153W@chrXV:619839-624375(+)
YHR001W	YHR001W@chrVIII:106054-107368(+)
YOL121C	YOL121C@chrXV:92025-92850(-)
YMR311C	YMR311C@chrXIII:896913-897603(-)
YBR199W	YBR199W@chrII:618908-620303(+)
YKL050C	YKL050C@chrXI:342851-345620(-)
YOL066C	YOL066C@chrXV:202695-204471(-)
YJR065C	YJR065C@chrX:557808-559158(-)
YDR460W	YDR460W@chrIV:1383810-1384776(+)
YML090W	YML090W@chrXIII:90743-91130(+)
YPL079W	YPL079W@chrXVI:406635-407539(+)
YMR152W	YMR152W@chrXIII:563095-564193(+)
YBR185C	YBR185C@chrII:599122-599959(-)
YBR133C	YBR133C@chrII:501803-504287(-)
YFL018C	YFL018C@chrVI:101627-103127(-)
YLR085C	YLR085C@chrXII:300672-301989(-)
YOL130W	YOL130W@chrXV:74399-76979(+)
YPR116W	YPR116W@chrXVI:758647-759481(+)
YNL306W	YNL306W@chrXIV:58154-58808(+)
YDR033W	YDR033W@chrIV:508146-509109(+)
YPR154W	YPR154W@chrXVI:834564-835212(+)
YER163C	YER163C@chrV:503083-503782(-)
YLR011W	YLR011W@chrXII:169102-169678(+)
YOR156C	YOR156C@chrXV:628359-630540(-)
YJL047C	YJL047C@chrX:349579-352108(-)
YDL114W-A	YDL114W-A@chrIV:254934-255048(+)
YEL064C	YEL064C@chrV:29796-31239(-)
YGL113W	YGL113W@chrVII:295931-297938(+)
YKL076C	YKL076C@chrXI:292837-293221(-)
YOR293C-A	YOR293C-A@chrXV:867997-868147(-)
YKR024C	YKR024C@chrXI:485143-487372(-)
YJR067C	YJR067C@chrX:567018-567444(-)
YDR015C	YDR015C@chrIV:477959-478199(-)
YOR217W	YOR217W@chrXV:749300-751886(+)
YLR185W	YLR185W@chrXII:522662-523288(+)
YDR531W	YDR531W@chrIV:1498231-1499335(+)
YLR414C	YLR414C@chrXII:953352-954144(-)
YAR009C	YAR009C@chrI:160596-164187(-)
YFR042W	YFR042W@chrVI:238457-239060(+)
YLR199C	YLR199C@chrXII:547852-548769(-)
YLR108C	YLR108C@chrXII:366666-368124(-)
YPL173W	YPL173W@chrXVI:223142-224036(+)
YJL220W	YJL220W@chrX:18242-18695(+)
YBL077W	YBL077W@chrII:80896-81328(+)
YOL083C-A	YOL083C-A@chrXV:166460-166601(-)
YGR192C	YGR192C@chrVII:882811-883810(-)
YER069W	YER069W@chrV:295409-298001(+)
YPL125W	YPL125W@chrXVI:313387-316486(+)
YNL300W	YNL300W@chrXIV:65743-66052(+)
Q0032	Q0032@chrM:11666-11957(+)
YER117W	YER117W@chrV:396768-397653(+)
YMR137C	YMR137C@chrXIII:542977-544963(-)
YCL008C	YCL008C@chrIII:105695-106853(-)
YPR022C	YPR022C@chrXVI:603910-607312(-)
YBR150C	YBR150C@chrII:541208-544493(-)
YHR213W	YHR213W@chrVIII:539150-539747(+)
YGL158W	YGL158W@chrVII:207032-208571(+)
YDL146W	YDL146W@chrIV:192749-194225(+)
YOL038C-A	YOL038C-A@chrXV:254925-255021(-)
YLR386W	YLR386W@chrXII:893627-896270(+)
YOR152C	YOR152C@chrXV:617517-618288(-)
YCL065W	YCL065W@chrIII:13750-14119(+)
YPL181W	YPL181W@chrXVI:203420-204941(+)
YMR315W-A	YMR315W-A@chrXIII:904285-904393(+)
YPR019W	YPR019W@chrXVI:596749-599551(+)
YKR068C	YKR068C@chrXI:570327-570909(-)
YLR077W	YLR077W@chrXII:283871-285623(+)
YPR053C	YPR053C@chrXVI:665787-666243(-)
YER162C	YER162C@chrV:500629-502894(-)
YHR097C	YHR097C@chrVIII:297384-298609(-)
YDR406W-A	YDR406W-A@chrIV:1283798-1284044(+)
YHR100C	YHR100C@chrVIII:314115-314673(-)
YJR124C	YJR124C@chrX:652891-654238(-)
YBL050W	YBL050W@chrII:125124-126119(+)
YER027C	YER027C@chrV:208978-210232(-)
YPR091C	YPR091C@chrXVI:716155-718468(-)
YDR006C	YDR006C@chrIV:458541-461247(-)
YDR077W	YDR077W@chrIV:600792-601809(+)
YPL198W	YPL198W@chrXVI:173151-174702(+)
YPR139C	YPR139C@chrXVI:813155-814058(-)
YMR026C	YMR026C@chrXIII:324235-325435(-)
YMR097C	YMR097C@chrXIII:459423-460527(-)
YMR135W-A	YMR135W-A@chrXIII:539910-540444(+)
YMR318C	YMR318C@chrXIII:911060-912143(-)
YGL152C	YGL152C@chrVII:216691-217369(-)
YDR123C	YDR123C@chrIV:698553-699468(-)
YDR244W	YDR244W@chrIV:950562-952401(+)
YLR317W	YLR317W@chrXII:765654-766089(+)
YPL135W	YPL135W@chrXVI:297552-298050(+)
YPL120W	YPL120W@chrXVI:322070-323744(+)
YHR047C	YHR047C@chrVIII:198739-201310(-)
YML045W-A	YML045W-A@chrXIII:184460-185783(+)
YOR123C	YOR123C@chrXV:553175-554570(-)
YHL015W-A	YHL015W-A@chrVIII:74698-74782(+)
YLR131C	YLR131C@chrXII:404509-406822(-)
YEL027W	YEL027W@chrV:100768-101251(+)
YCR051W	YCR051W@chrIII:214070-214739(+)
YNL329C	YNL329C@chrXIV:19540-22633(-)
YNL304W	YNL304W@chrXIV:60296-61550(+)
YHR053C	YHR053C@chrVIII:212534-212720(-)
YGL254W	YGL254W@chrVII:22303-23203(+)
YDR143C	YDR143C@chrIV:742041-743874(-)
YPL202C	YPL202C@chrXVI:168087-169338(-)
YJL100W	YJL100W@chrX:237262-239086(+)
YBL039W-B	YBL039W-B@chrII:143392-143572(+)
YDR321W	YDR321W@chrIV:1108701-1109847(+)
YMR132C	YMR132C@chrXIII:534943-535570(-)
YLR160C	YLR160C@chrXII:486200-487289(-)
YFL064C	YFL064C@chrVI:3321-3846(-)
YHR077C	YHR077C@chrVIII:252373-255756(-)
YNL054W-A	YNL054W-A@chrXIV:519455-520778(+)
YPL253C	YPL253C@chrXVI:71062-73006(-)
YGR175C	YGR175C@chrVII:846932-848423(-)
YPL121C	YPL121C@chrXVI:320961-321630(-)
YKR053C	YKR053C@chrXI:534066-535281(-)
YMR170C	YMR170C@chrXIII:601561-603082(-)
YDR187C	YDR187C@chrIV:836227-836746(-)
YML020W	YML020W@chrXIII:231148-233143(+)
YDR137W	YDR137W@chrIV:728258-730250(+)
YGL228W	YGL228W@chrVII:67597-69331(+)
YLR265C	YLR265C@chrXII:674426-675455(-)
YLR364W	YLR364W@chrXII:854061-854391(+)
YOL047C	YOL047C@chrXV:241613-242747(-)
YGR135W	YGR135W@chrVII:761391-762168(+)
