YIL046W-A	YIL046W-A@chrIX:268116(+)
YDR240C	YDR240C@chrIV:945172(-)
YJR048W	YJR048W@chrX:526289(+)
YNL084C	YNL084C@chrXIV:471156(-)
YMR214W	YMR214W@chrXIII:695320(+)
YBR216C	YBR216C@chrII:657630(-)
YNR048W	YNR048W@chrXIV:711571(+)
YGR123C	YGR123C@chrVII:738259(-)
YPL239W	YPL239W@chrXVI:99406(+)
YNL038W	YNL038W@chrXIV:557009(+)
YBR082C	YBR082C@chrII:407255(-)
YER102W	YER102W@chrV:362714(+)
YGL097W	YGL097W@chrVII:321740(+)
YLR133W	YLR133W@chrXII:408415(+)
YNL197C	YNL197C@chrXIV:269953(-)
YNL188W	YNL188W@chrXIV:286207(+)
YBR047W	YBR047W@chrII:331780(+)
YGR177C	YGR177C@chrVII:850499(-)
YMR235C	YMR235C@chrXIII:742779(-)
YER009W	YER009W@chrV:172081(+)
YPL229W	YPL229W@chrXVI:117037(+)
YOR256C	YOR256C@chrXV:810832(-)
YMR182C	YMR182C@chrXIII:625280(-)
YDR319C	YDR319C@chrIV:1105906(-)
YDR438W	YDR438W@chrIV:1338211(+)
YNL310C	YNL310C@chrXIV:52446(-)
YJL144W	YJL144W@chrX:146326(+)
YPR175W	YPR175W@chrXVI:888955(+)
YKL089W	YKL089W@chrXI:273369(+)
YKL019W	YKL019W@chrXI:402549(+)
YHR029C	YHR029C@chrVIII:168574(-)
YOR028C	YOR028C@chrXV:384682(-)
YLR089C	YLR089C@chrXII:320319(-)
YMR025W	YMR025W@chrXIII:323288(+)
YLR033W	YLR033W@chrXII:208708(+)
YLR191W	YLR191W@chrXII:537223(+)
YLR344W	YLR344W@chrXII:819295(+)
YBR029C	YBR029C@chrII:297832(-)
YFL057C	YFL057C@chrVI:14787(-)
YER128W	YER128W@chrV:415858(+)
YKL079W	YKL079W@chrXI:286526(+)
YLR212C	YLR212C@chrXII:566296(-)
YGR030C	YGR030C@chrVII:546172(-)
YCR003W	YCR003W@chrIII:118598(+)
YML102W	YML102W@chrXIII:68265(+)
YFR017C	YFR017C@chrVI:182939(-)
YLR240W	YLR240W@chrXII:617485(+)
YHR048W	YHR048W@chrVIII:204458(+)
YER150W	YER150W@chrV:468335(+)
YCR016W	YCR016W@chrIII:143608(+)
YGL212W	YGL212W@chrVII:91398(+)
YHR187W	YHR187W@chrVIII:480955(+)
YDR381C-A	YDR381C-A@chrIV:1238851(-)
YCL026C-B	YCL026C-B@chrIII:74021(-)
YOR266W	YOR266W@chrXV:820997(+)
YBR263W	YBR263W@chrII:736240(+)
YOL117W	YOL117W@chrXV:97514(+)
YNL012W	YNL012W@chrXIV:609675(+)
YKL081W	YKL081W@chrXI:282866(+)
YAL062W	YAL062W@chrI:31529(+)
YNL249C	YNL249C@chrXIV:181044(-)
YGR225W	YGR225W@chrVII:945038(+)
YGL134W	YGL134W@chrVII:255566(+)
YBR107C	YBR107C@chrII:454579(-)
YJL186W	YJL186W@chrX:80126(+)
YGL221C	YGL221C@chrVII:82303(-)
YKL156W	YKL156W@chrXI:158595(+)
YGR125W	YGR125W@chrVII:742255(+)
YFL046W	YFL046W@chrVI:42785(+)
YER144C	YER144C@chrV:460232(-)
YHL004W	YHL004W@chrVIII:99131(+)
YDR113C	YDR113C@chrIV:681702(-)
YDR314C	YDR314C@chrIV:1092549(-)
YGL224C	YGL224C@chrVII:78959(-)
YBR084C-A	YBR084C-A@chrII:415283(-)
YLR047C	YLR047C@chrXII:241655(-)
YDR263C	YDR263C@chrIV:995633(-)
YKR010C	YKR010C@chrXI:461322(-)
YHR019C	YHR019C@chrVIII:143600(-)
YCR061W	YCR061W@chrIII:225538(+)
YJR025C	YJR025C@chrX:471701(-)
YOL023W	YOL023W@chrXV:278048(+)
YNR051C	YNR051C@chrXIV:719068(-)
YJL196C	YJL196C@chrX:68805(-)
YNR063W	YNR063W@chrXIV:746862(+)
YLR388W	YLR388W@chrXII:898121(+)
YGR257C	YGR257C@chrVII:1007393(-)
YLR448W	YLR448W@chrXII:1028838(+)
YGL091C	YGL091C@chrVII:343063(-)
YBR087W	YBR087W@chrII:423754(+)
YDL218W	YDL218W@chrIV:66148(+)
YOR157C	YOR157C@chrXV:631816(-)
YOR037W	YOR037W@chrXV:401480(+)
YGL017W	YGL017W@chrVII:459838(+)
YDR351W	YDR351W@chrIV:1178617(+)
YFR013W	YFR013W@chrVI:169866(+)
YDR225W	YDR225W@chrIV:915455(+)
YGL037C	YGL037C@chrVII:428035(-)
YBR096W	YBR096W@chrII:435960(+)
YER060W	YER060W@chrV:274438(+)
YLR038C	YLR038C@chrXII:225222(-)
YLR190W	YLR190W@chrXII:534894(+)
YCR010C	YCR010C@chrIII:133448(-)
YLR166C	YLR166C@chrXII:498080(-)
YBR108W	YBR108W@chrII:454807(+)
YLR392C	YLR392C@chrXII:906476(-)
YDR116C	YDR116C@chrIV:683606(-)
YDL137W	YDL137W@chrIV:216056(+)
YOR246C	YOR246C@chrXV:796856(-)
YGR212W	YGR212W@chrVII:917036(+)
YOR350C	YOR350C@chrXV:994888(-)
YKR089C	YKR089C@chrXI:608442(-)
YNR013C	YNR013C@chrXIV:651755(-)
YHR060W	YHR060W@chrVIII:220716(+)
YNL075W	YNL075W@chrXIV:485548(+)
YGR166W	YGR166W@chrVII:830435(+)
YNL126W	YNL126W@chrXIV:387164(+)
YCL011C	YCL011C@chrIII:103386(-)
YOL120C	YOL120C@chrXV:94422(-)
YOR362C	YOR362C@chrXV:1018799(-)
YJR057W	YJR057W@chrX:544055(+)
YPL152W	YPL152W@chrXVI:264966(+)
YNR040W	YNR040W@chrXIV:699690(+)
YML081C-A	YML081C-A@chrXIII:104221(-)
YCL055W	YCL055W@chrIII:27914(+)
YGR205W	YGR205W@chrVII:909087(+)
YDR109C	YDR109C@chrIV:675667(-)
YLL054C	YLL054C@chrXII:35232(-)
YNL293W	YNL293W@chrXIV:80576(+)
YIL016W	YIL016W@chrIX:321429(+)
YPL135W	YPL135W@chrXVI:297462(+)
YLR058C	YLR058C@chrXII:259440(-)
YGR028W	YGR028W@chrVII:542202(+)
YGL001C	YGL001C@chrVII:496556(-)
YDR031W	YDR031W@chrIV:503468(+)
YLR440C	YLR440C@chrXII:1017766(-)
YGR203W	YGR203W@chrVII:905192(+)
YIL059C	YIL059C@chrIX:247463(-)
YDR516C	YDR516C@chrIV:1476528(-)
YIR025W	YIR025W@chrIX:403632(+)
YDR479C	YDR479C@chrIV:1416922(-)
YDL204W	YDL204W@chrIV:94107(+)
YGR237C	YGR237C@chrVII:965743(-)
YPR097W	YPR097W@chrXVI:725158(+)
YOR090C	YOR090C@chrXV:492966(-)
YNL224C	YNL224C@chrXIV:227188(-)
YOR020C	YOR020C@chrXV:370882(-)
YIL135C	YIL135C@chrIX:96433(-)
YDR252W	YDR252W@chrIV:963410(+)
YNL135C	YNL135C@chrXIV:372257(-)
YMR231W	YMR231W@chrXIII:733493(+)
YNR060W	YNR060W@chrXIV:739921(+)
YLR110C	YLR110C@chrXII:370141(-)
YDL052C	YDL052C@chrIV:363635(-)
YCR046C	YCR046C@chrIII:210429(-)
YLR395C	YLR395C@chrXII:910008(-)
YGR185C	YGR185C@chrVII:867552(-)
YDR253C	YDR253C@chrIV:964768(-)
YIL112W	YIL112W@chrIX:151551(+)
YPR004C	YPR004C@chrXVI:565055(-)
YJR155W	YJR155W@chrX:727026(+)
YEL048C	YEL048C@chrV:65172(-)
YDR069C	YDR069C@chrIV:587766(-)
YHR043C	YHR043C@chrVIII:193647(-)
YFR034W-A	YFR034W-A@chrVI:225576(+)
YJL033W	YJL033W@chrX:383811(+)
YLR408C	YLR408C@chrXII:934265(-)
YGR009C	YGR009C@chrVII:511035(-)
YHR103W	YHR103W@chrVIII:320173(+)
YEL070W	YEL070W@chrV:19526(+)
YDL220C	YDL220C@chrIV:65038(-)
YNR045W	YNR045W@chrXIV:706108(+)
YGR040W	YGR040W@chrVII:575364(+)
YER133W	YER133W@chrV:432426(+)
YNL181W	YNL181W@chrXIV:298266(+)
YIL078W	YIL078W@chrIX:212451(+)
YMR270C	YMR270C@chrXIII:806564(-)
YCL017C	YCL017C@chrIII:94364(-)
YMR174C	YMR174C@chrXIII:610399(-)
YDR315C	YDR315C@chrIV:1093633(-)
YDR010C	YDR010C@chrIV:465738(-)
YCL037C	YCL037C@chrIII:58745(-)
YLR438W	YLR438W@chrXII:1012466(+)
YOR317W	YOR317W@chrXV:909314(+)
YHR078W	YHR078W@chrVIII:256332(+)
YJR088C	YJR088C@chrX:587423(-)
YBR065C	YBR065C@chrII:369720(-)
YJL110C	YJL110C@chrX:211666(-)
YLL063C	YLL063C@chrXII:16376(-)
YOR059C	YOR059C@chrXV:440293(-)
YNL175C	YNL175C@chrXIV:308648(-)
YBR273C	YBR273C@chrII:749402(-)
YGL065C	YGL065C@chrVII:381314(-)
YBL074C	YBL074C@chrII:87800(-)
YJR130C	YJR130C@chrX:667199(-)
YIL056W	YIL056W@chrIX:249877(+)
YGR027C	YGR027C@chrVII:534805(-)
YIL018W	YIL018W@chrIX:316744(+)
YLR100W	YLR100W@chrXII:341783(+)
YNL048W	YNL048W@chrXIV:538146(+)
YCR017C	YCR017C@chrIII:147663(-)
YDR023W	YDR023W@chrIV:489486(+)
YDL144C	YDL144C@chrIV:199749(-)
YNL076W	YNL076W@chrXIV:483284(+)
YGL002W	YGL002W@chrVII:494507(+)
YDL167C	YDL167C@chrIV:163210(-)
YIL122W	YIL122W@chrIX:130323(+)
YGL038C	YGL038C@chrVII:426849(-)
YFL016C	YFL016C@chrVI:106317(-)
YDL142C	YDL142C@chrIV:202633(-)
YDR117C	YDR117C@chrIV:685681(-)
YOR186W	YOR186W@chrXV:683028(+)
YKL100C	YKL100C@chrXI:255483(-)
YBR295W	YBR295W@chrII:792833(+)
YOR042W	YOR042W@chrXV:408368(+)
YBR018C	YBR018C@chrII:275547(-)
YDR403W	YDR403W@chrIV:1274552(+)
YKL141W	YKL141W@chrXI:179630(+)
YMR285C	YMR285C@chrXIII:841699(-)
YFR045W	YFR045W@chrVI:241982(+)
YML089C	YML089C@chrXIII:91581(-)
YEL071W	YEL071W@chrV:16319(+)
YOR252W	YOR252W@chrXV:803635(+)
YMR293C	YMR293C@chrXIII:856823(-)
YNR003C	YNR003C@chrXIV:635326(-)
YPL127C	YPL127C@chrXVI:309627(-)
YDL230W	YDL230W@chrIV:42674(+)
YML036W	YML036W@chrXIII:205607(+)
YER043C	YER043C@chrV:237143(-)
YMR126C	YMR126C@chrXIII:521978(-)
YLR290C	YLR290C@chrXII:718000(-)
YIL070C	YIL070C@chrIX:231127(-)
YJL047C	YJL047C@chrX:352228(-)
YIL076W	YIL076W@chrIX:216646(+)
YPL099C	YPL099C@chrXVI:364087(-)
YFR042W	YFR042W@chrVI:238410(+)
YMR096W	YMR096W@chrXIII:458379(+)
YIL126W	YIL126W@chrIX:117910(+)
YML118W	YML118W@chrXIII:32221(+)
YMR288W	YMR288W@chrXIII:845550(+)
YIL094C	YIL094C@chrIX:187655(-)
YCR059C	YCR059C@chrIII:224244(-)
YJL106W	YJL106W@chrX:220627(+)
YOR348C	YOR348C@chrXV:988797(-)
YDR084C	YDR084C@chrIV:614038(-)
YCR095W-A	YCR095W-A@chrIII:289476(+)
YIL027C	YIL027C@chrIX:304147(-)
YMR171C	YMR171C@chrXIII:605716(-)
YDR033W	YDR033W@chrIV:507901(+)
YPL078C	YPL078C@chrXVI:408783(-)
YLR400W	YLR400W@chrXII:921941(+)
YMR241W	YMR241W@chrXIII:751816(+)
YKL011C	YKL011C@chrXI:421219(-)
YOR160W	YOR160W@chrXV:633771(+)
YDR148C	YDR148C@chrIV:755173(-)
YLR192C	YLR192C@chrXII:539638(-)
YDR183W	YDR183W@chrIV:829530(+)
YOL158C	YOL158C@chrXV:21333(-)
YJR113C	YJR113C@chrX:639030(-)
YLL038C	YLL038C@chrXII:66552(-)
YKR098C	YKR098C@chrXI:635316(-)
YKL168C	YKL168C@chrXI:133463(-)
YGR181W	YGR181W@chrVII:858238(+)
YIL015W	YIL015W@chrIX:322144(+)
YOR338W	YOR338W@chrXV:956835(+)
YJL050W	YJL050W@chrX:342474(+)
YNL023C	YNL023C@chrXIV:591222(-)
YJL176C	YJL176C@chrX:94593(-)
YPR172W	YPR172W@chrXVI:885764(+)
YHR210C	YHR210C@chrVIII:521821(-)
YAR019C	YAR019C@chrI:175135(-)
YHR171W	YHR171W@chrVIII:445704(+)
YMR044W	YMR044W@chrXIII:355335(+)
YJL213W	YJL213W@chrX:31815(+)
YMR098C	YMR098C@chrXIII:462691(-)
YOL007C	YOL007C@chrXV:312449(-)
YPR043W	YPR043W@chrXVI:654135(+)
YER186C	YER186C@chrV:562818(-)
YDR256C	YDR256C@chrIV:969722(-)
YHR025W	YHR025W@chrVIII:159402(+)
YOR372C	YOR372C@chrXV:1036541(-)
YER018C	YER018C@chrV:192679(-)
YBR196C	YBR196C@chrII:613942(-)
YBR133C	YBR133C@chrII:504446(-)
YIL022W	YIL022W@chrIX:311056(+)
YIL002C	YIL002C@chrIX:353583(-)
YLR262C-A	YLR262C-A@chrXII:669684(-)
YJL191W	YJL191W@chrX:73763(+)
YKR005C	YKR005C@chrXI:450250(-)
YJL210W	YJL210W@chrX:36867(+)
YKR072C	YKR072C@chrXI:578183(-)
YNR015W	YNR015W@chrXIV:653376(+)
YGL041W-A	YGL041W-A@chrVII:418818(+)
YOR197W	YOR197W@chrXV:717070(+)
YJR144W	YJR144W@chrX:700861(+)
YKL143W	YKL143W@chrXI:176727(+)
YNL138W	YNL138W@chrXIV:366715(+)
YOL108C	YOL108C@chrXV:111890(-)
YMR144W	YMR144W@chrXIII:553246(+)
YML119W	YML119W@chrXIII:30591(+)
YJL204C	YJL204C@chrX:53177(-)
YJL104W	YJL104W@chrX:227305(+)
YCR037C	YCR037C@chrIII:197229(-)
YGL209W	YGL209W@chrVII:95811(+)
YKL029C	YKL029C@chrXI:384762(-)
YEL008C-A	YEL008C-A@chrV:140997(-)
YBL102W	YBL102W@chrII:24010(+)
YNL267W	YNL267W@chrXIV:140779(+)
YJL094C	YJL094C@chrX:254487(-)
YBR126C	YBR126C@chrII:490469(-)
YPL200W	YPL200W@chrXVI:171419(+)
YPL004C	YPL004C@chrXVI:551682(-)
YMR263W	YMR263W@chrXIII:794888(+)
YOR261C	YOR261C@chrXV:817029(-)
YOR122C	YOR122C@chrXV:552915(-)
YOR226C	YOR226C@chrXV:762105(-)
YBL092W	YBL092W@chrII:45613(+)
YGL226C-A	YGL226C-A@chrVII:73192(-)
YBR030W	YBR030W@chrII:298235(+)
YML065W	YML065W@chrXIII:142116(+)
YKL056C	YKL056C@chrXI:334958(-)
YGR149W	YGR149W@chrVII:788920(+)
YKR080W	YKR080W@chrXI:590337(+)
YMR132C	YMR132C@chrXIII:535657(-)
YOR107W	YOR107W@chrXV:521075(+)
YMR061W	YMR061W@chrXIII:392731(+)
YNL003C	YNL003C@chrXIV:625861(-)
YPL138C	YPL138C@chrXVI:292482(-)
YBL035C	YBL035C@chrII:153691(-)
YMR320W	YMR320W@chrXIII:915598(+)
YMR195W	YMR195W@chrXIII:654029(+)
YHL001W	YHL001W@chrVIII:104256(+)
YHR052W	YHR052W@chrVIII:210810(+)
YNR049C	YNR049C@chrXIV:713673(-)
YDR144C	YDR144C@chrIV:746241(-)
YDL214C	YDL214C@chrIV:76712(-)
YGR227W	YGR227W@chrVII:947341(+)
YML048W	YML048W@chrXIII:178381(+)
YLR006C	YLR006C@chrXII:164068(-)
YMR296C	YMR296C@chrXIII:860993(-)
YGR252W	YGR252W@chrVII:996821(+)
YCR054C	YCR054C@chrIII:220122(-)
YOR030W	YOR030W@chrXV:386729(+)
YCR082W	YCR082W@chrIII:258853(+)
YPL037C	YPL037C@chrXVI:481932(-)
YDR016C	YDR016C@chrIV:478791(-)
YHR134W	YHR134W@chrVIII:371748(+)
YDR405W	YDR405W@chrIV:1277593(+)
YDL110C	YDL110C@chrIV:265021(-)
YOR359W	YOR359W@chrXV:1011066(+)
YLR271W	YLR271W@chrXII:682412(+)
YNL007C	YNL007C@chrXIV:619706(-)
YBL029C-A	YBL029C-A@chrII:164841(-)
YJR093C	YJR093C@chrX:604261(-)
YOR376W-A	YOR376W-A@chrXV:1044706(+)
YER112W	YER112W@chrV:387131(+)
YKL184W	YKL184W@chrXI:96597(+)
YKR055W	YKR055W@chrXI:548165(+)
YMR211W	YMR211W@chrXIII:689065(+)
YLR309C	YLR309C@chrXII:751822(-)
YBR189W	YBR189W@chrII:604482(+)
YER058W	YER058W@chrV:271736(+)
YML115C	YML115C@chrXIII:41837(-)
YMR170C	YMR170C@chrXIII:603108(-)
YCR012W	YCR012W@chrIII:137706(+)
YDR270W	YDR270W@chrIV:1005596(+)
YOR069W	YOR069W@chrXV:453691(+)
YJL042W	YJL042W@chrX:361141(+)
YMR256C	YMR256C@chrXIII:779156(-)
YDR539W	YDR539W@chrIV:1512062(+)
YGR072W	YGR072W@chrVII:634239(+)
YBL086C	YBL086C@chrII:62662(-)
YDR462W	YDR462W@chrIV:1386019(+)
YMR038C	YMR038C@chrXIII:348290(-)
YBR037C	YBR037C@chrII:311493(-)
YPR079W	YPR079W@chrXVI:698772(+)
YPL139C	YPL139C@chrXVI:291107(-)
YGL121C	YGL121C@chrVII:281283(-)
YHR076W	YHR076W@chrVIII:251081(+)
YLR273C	YLR273C@chrXII:691247(-)
YOR165W	YOR165W@chrXV:644533(+)
YOL063C	YOL063C@chrXV:210338(-)
YDL127W	YDL127W@chrIV:234906(+)
YLR042C	YLR042C@chrXII:230478(-)
YDR333C	YDR333C@chrIV:1135468(-)
YKR025W	YKR025W@chrXI:487739(+)
YPL240C	YPL240C@chrXVI:98681(-)
YJL164C	YJL164C@chrX:111378(-)
YNL081C	YNL081C@chrXIV:476653(-)
YDR234W	YDR234W@chrIV:931102(+)
YDL122W	YDL122W@chrIV:242340(+)
YLL022C	YLL022C@chrXII:100201(-)
YBR182C	YBR182C@chrII:595043(-)
YDL086W	YDL086W@chrIV:301408(+)
YNL025C	YNL025C@chrXIV:585318(-)
YHL020C	YHL020C@chrVIII:67540(-)
YJL218W	YJL218W@chrX:21920(+)
YNL022C	YNL022C@chrXIV:592924(-)
YPL192C	YPL192C@chrXVI:183256(-)
YPL070W	YPL070W@chrXVI:420741(+)
YKL005C	YKL005C@chrXI:435004(-)
YAL018C	YAL018C@chrI:119591(-)
YOR337W	YOR337W@chrXV:954212(+)
YDR176W	YDR176W@chrIV:814417(+)
YJR017C	YJR017C@chrX:467055(-)
YKR041W	YKR041W@chrXI:518179(+)
YPR144C	YPR144C@chrXVI:821446(-)
YGL031C	YGL031C@chrVII:438438(-)
YGR112W	YGR112W@chrVII:717300(+)
YOR063W	YOR063W@chrXV:444664(+)
YPL098C	YPL098C@chrXVI:364756(-)
YIR008C	YIR008C@chrIX:374365(-)
YIL090W	YIL090W@chrIX:193457(+)
YKL055C	YKL055C@chrXI:336191(-)
YNL090W	YNL090W@chrXIV:456406(+)
YPL072W	YPL072W@chrXVI:418377(+)
YOR383C	YOR383C@chrXV:1061102(-)
YDR529C	YDR529C@chrIV:1496579(-)
YMR056C	YMR056C@chrXIII:388325(-)
YMR218C	YMR218C@chrXIII:706919(-)
YNL306W	YNL306W@chrXIV:58129(+)
YLR104W	YLR104W@chrXII:346545(+)
YGL145W	YGL145W@chrVII:230173(+)
YDR046C	YDR046C@chrIV:550666(-)
YLR375W	YLR375W@chrXII:871665(+)
YER002W	YER002W@chrV:156754(+)
YOR306C	YOR306C@chrXV:891572(-)
YIL045W	YIL045W@chrIX:271067(+)
YPR072W	YPR072W@chrXVI:690006(+)
YBR179C	YBR179C@chrII:589179(-)
YNL217W	YNL217W@chrXIV:240304(+)
YBL080C	YBL080C@chrII:74711(-)
YHR007C	YHR007C@chrVIII:121825(-)
YOL159C	YOL159C@chrXV:17814(-)
YIL004C	YIL004C@chrIX:348524(-)
YNL173C	YNL173C@chrXIV:310109(-)
YDR056C	YDR056C@chrIV:565698(-)
YCL030C	YCL030C@chrIII:68393(-)
YLR130C	YLR130C@chrXII:404169(-)
YDR451C	YDR451C@chrIV:1362234(-)
YHR178W	YHR178W@chrVIII:459237(+)
YDL105W	YDL105W@chrIV:272345(+)
YLR455W	YLR455W@chrXII:1053393(+)
YOL040C	YOL040C@chrXV:253629(-)
YML110C	YML110C@chrXIII:50981(-)
YNL243W	YNL243W@chrXIV:187998(+)
YNL021W	YNL021W@chrXIV:593167(+)
YKR071C	YKR071C@chrXI:576043(-)
YIR017C	YIR017C@chrIX:384139(-)
YMR152W	YMR152W@chrXIII:563085(+)
YIL052C	YIL052C@chrIX:257094(-)
YMR031C	YMR031C@chrXIII:334822(-)
YHL025W	YHL025W@chrVIII:54793(+)
YNL190W	YNL190W@chrXIV:282155(+)
YNL286W	YNL286W@chrXIV:95128(+)
YBL018C	YBL018C@chrII:186515(-)
YNL283C	YNL283C@chrXIV:107061(-)
YMR022W	YMR022W@chrXIII:318651(+)
YCR065W	YCR065W@chrIII:229127(+)
YPR138C	YPR138C@chrXVI:812683(-)
YLR115W	YLR115W@chrXII:377961(+)
YNL033W	YNL033W@chrXIV:572987(+)
YIL009C-A	YIL009C-A@chrIX:336224(-)
YJR143C	YJR143C@chrX:700673(-)
YOR131C	YOR131C@chrXV:572928(-)
YKL058W	YKL058W@chrXI:330136(+)
YDR419W	YDR419W@chrIV:1303169(+)
YPR165W	YPR165W@chrXVI:875171(+)
YLL051C	YLL051C@chrXII:39485(-)
YER042W	YER042W@chrV:234906(+)
YOR287C	YOR287C@chrXV:851861(-)
YPR139C	YPR139C@chrXVI:814128(-)
YBR285W	YBR285W@chrII:773902(+)
YMR309C	YMR309C@chrXIII:895504(-)
YHL008C	YHL008C@chrVIII:94678(-)
YMR145C	YMR145C@chrXIII:556571(-)
YPL111W	YPL111W@chrXVI:339898(+)
YDL106C	YDL106C@chrIV:271965(-)
YLR348C	YLR348C@chrXII:827900(-)
YLR360W	YLR360W@chrXII:846029(+)
YMR230W	YMR230W@chrXIII:732382(+)
YEL041W	YEL041W@chrV:75837(+)
YLR325C	YLR325C@chrXII:781400(-)
YDR179W-A	YDR179W-A@chrIV:819340(+)
YDR064W	YDR064W@chrIV:579437(+)
YBL027W	YBL027W@chrII:168392(+)
YIL054W	YIL054W@chrIX:253413(+)
YJR141W	YJR141W@chrX:695873(+)
YKL171W	YKL171W@chrXI:127398(+)
YDR311W	YDR311W@chrIV:1085040(+)
YDR422C	YDR422C@chrIV:1317819(-)
YKL204W	YKL204W@chrXI:53670(+)
YHR027C	YHR027C@chrVIII:164764(-)
YGR155W	YGR155W@chrVII:798507(+)
YGL116W	YGL116W@chrVII:289663(+)
YMR035W	YMR035W@chrXIII:341101(+)
YKL186C	YKL186C@chrXI:93525(-)
YMR156C	YMR156C@chrXIII:571028(-)
YOR234C	YOR234C@chrXV:779423(-)
YOR111W	YOR111W@chrXV:530389(+)
YIL110W	YIL110W@chrIX:156014(+)
YCL005W	YCL005W@chrIII:107975(+)
YDR267C	YDR267C@chrIV:1003571(-)
YJL103C	YJL103C@chrX:231047(-)
YPR069C	YPR069C@chrXVI:685495(-)
YDR541C	YDR541C@chrIV:1520881(-)
YJL027C	YJL027C@chrX:392317(-)
YJR153W	YJR153W@chrX:722620(+)
YBR156C	YBR156C@chrII:553237(-)
YLR103C	YLR103C@chrXII:346011(-)
YOR126C	YOR126C@chrXV:560708(-)
YBL014C	YBL014C@chrII:201777(-)
YER184C	YER184C@chrV:558754(-)
YAR002C-A	YAR002C-A@chrI:154740(-)
YNL058C	YNL058C@chrXIV:516741(-)
YGL255W	YGL255W@chrVII:20933(+)
YEL017C-A	YEL017C-A@chrV:122968(-)
YNR059W	YNR059W@chrXIV:736696(+)
YNL292W	YNL292W@chrXIV:82797(+)
YDR089W	YDR089W@chrIV:622069(+)
YGR186W	YGR186W@chrVII:867746(+)
YBR270C	YBR270C@chrII:744670(-)
YLR059C	YLR059C@chrXII:260550(-)
YOR049C	YOR049C@chrXV:423917(-)
YJL123C	YJL123C@chrX:189448(-)
YFR001W	YFR001W@chrVI:149088(+)
YLL032C	YLL032C@chrXII:76852(-)
YMR253C	YMR253C@chrXIII:777241(-)
YBL036C	YBL036C@chrII:151233(-)
